trait,outcome,model,method,beta,se,t,p,ci_lower,ci_upper,ci_scale,n,r2,or,z
Well-being,IRA participation,+ Health,Logistic,0.0322,0.0207,,0.1191,0.9917,1.0754,OR,12060,,1.0327,1.5584
Well-being,IHS(wealth),+ Marital,OLS,0.1368,0.0443,3.0853,0.0020,0.0499,0.2237,beta,12060,0.0976,,
Well-being,SS claiming age,+ Marital,OLS,0.0367,0.0221,1.6565,0.0976,-0.0067,0.0800,beta,6700,0.0585,,
Well-being,Retirement age,+ Marital,OLS,-0.0785,0.0720,-1.0906,0.2754,-0.2196,0.0626,beta,9625,0.0651,,
Well-being,Stock participation,+ Marital,Logistic,-0.0004,0.0228,,0.9867,0.9560,1.0452,OR,12060,,0.9996,-0.0167
Well-being,IRA participation,+ Marital,Logistic,0.0399,0.0207,,0.0544,0.9993,1.0838,OR,12060,,1.0407,1.9239
Well-being,IHS(wealth),+ Income,OLS,0.1547,0.0451,3.4318,0.0006,0.0664,0.2431,beta,12060,0.0737,,
Well-being,SS claiming age,+ Income,OLS,0.0340,0.0221,1.5402,0.1235,-0.0093,0.0772,beta,6700,0.0632,,
Well-being,Retirement age,+ Income,OLS,-0.0823,0.0719,-1.1436,0.2528,-0.2233,0.0587,beta,9625,0.0651,,
Well-being,Stock participation,+ Income,Logistic,-0.0020,0.0229,,0.9292,0.9541,1.0438,OR,12060,,0.9980,-0.0889
Well-being,IRA participation,+ Income,Logistic,0.0422,0.0206,,0.0406,1.0018,1.0861,OR,12060,,1.0431,2.0472
Well-being,IHS(wealth),All controls,OLS,0.0854,0.0435,1.9619,0.0498,0.0001,0.1708,beta,12060,0.1286,,
Well-being,SS claiming age,All controls,OLS,0.0299,0.0220,1.3600,0.1738,-0.0132,0.0730,beta,6700,0.0684,,
Well-being,Retirement age,All controls,OLS,-0.1036,0.0720,-1.4398,0.1499,-0.2446,0.0374,beta,9625,0.0699,,
Well-being,Stock participation,All controls,Logistic,-0.0139,0.0231,,0.5468,0.9426,1.0318,OR,12060,,0.9862,-0.6025
Well-being,IRA participation,All controls,Logistic,0.0229,0.0209,,0.2723,0.9821,1.0660,OR,12060,,1.0232,1.0977
